GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001 Eddy Scaling:     1.000
# Statistical Models Only:  F Apex:  T
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T Updated Turbulent Conduction:  F
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
      92 2017  8 21  0  6 59 448  4.6269    177.26869    924.83628    808.85023    -71.95220     63.54904      3.76632     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11109   0.20271  -1.00000
      93 2017  8 21  0  7  4  75  4.6270    177.27551    925.70010    808.30104    -70.94075     62.01799      4.03171     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11075   0.20271  -1.00000
      94 2017  8 21  0  7  8 704  4.6283    177.27906    924.69623    807.83527    -70.44021     61.22154      4.29773     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11042   0.20271  -1.00000
      95 2017  8 21  0  7 13 333  4.6299    177.27906    926.58047    807.46396    -73.08409     60.43888      4.57723     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11008   0.20271  -1.00000
      96 2017  8 21  0  7 17 965  4.6317    177.27863    926.82188    807.19390    -73.25996     61.89202      4.88106     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10974   0.20271  -1.00000
      97 2017  8 21  0  7 22 599  4.6334    177.27995    926.22391    807.02751    -70.21560     68.48220      5.19797     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10941   0.20271  -1.00000
      98 2017  8 21  0  7 27 233  4.6346    177.28148    928.30477    806.96456    -69.00099     72.55225      5.52930     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10907   0.20270  -1.00000
      99 2017  8 21  0  7 31 868  4.6349    177.28220    928.66187    806.99954    -70.34171     72.85730      5.87510     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10873   0.20270  -1.00000
     100 2017  8 21  0  7 36 503  4.6349    177.28417    927.34728    807.12103    -69.01900     69.86211      6.21970     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10839   0.20270  -1.00000
     101 2017  8 21  0  7 41 138  4.6351    177.28811    927.39995    807.31649    -66.83941     67.88854      6.58717     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10806   0.20270  -1.00000
     102 2017  8 21  0  7 45 773  4.6356    177.29206    927.16469    807.56990    -69.40748     70.79302      6.96594     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10772   0.20270  -1.00000
     103 2017  8 21  0  7 50 410  4.6365    177.29220    925.29615    807.86118    -69.93440     70.21656      7.35315     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10738   0.20270  -1.00000
     104 2017  8 21  0  7 55  48  4.6378    177.29098    925.09766    808.16711    -67.45385     77.45705      7.74121     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10705   0.20270  -1.00000
     105 2017  8 21  0  7 59 687  4.6394    177.28959    924.50681    808.46655    -65.03425     81.07947      8.10419     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10671   0.20270  -1.00000
     106 2017  8 21  0  8  4 328  4.6406    177.28793    922.64790    808.73846    -67.15075     80.64114      8.42812     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10637   0.20270  -1.00000
     107 2017  8 21  0  8  8 969  4.6412    177.28470    921.35123    808.96227    -67.04874     76.60159      8.69921     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10603   0.20270  -1.00000
     108 2017  8 21  0  8 13 610  4.6414    177.28244    920.10805    809.11864    -63.67335     82.25059      8.91274     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10570   0.20270  -1.00000
     109 2017  8 21  0  8 18 252  4.6419    177.28158    917.95378    809.19406    -66.51441     90.13415      9.05189     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10536   0.20270  -1.00000
     110 2017  8 21  0  8 22 896  4.6432    177.28197    916.43055    809.17876    -68.62944     96.86689      9.10598     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10502   0.20270  -1.00000
     111 2017  8 21  0  8 27 541  4.6449    177.28142    914.73103    809.06430    -68.09844    102.03361      9.06672     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10468   0.20270  -1.00000
     112 2017  8 21  0  8 32 187  4.6462    177.27823    912.31238    808.84855    -64.07232    106.75702      8.91966     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.10435   0.20270  -1.00000
